FlightNumber,AirlineName,DateOfFlight,Origin,Destination,DepartureTime,ArrivalTime,TotalRows,SeatsPerRow,BusinessRows,BusinessPrice,RegularPrice,FlightDuration
AA123,American Airlines,2024-12-01,New York,Los Angeles,08:00,12:00,10,6,2,500,250,4
DL456,Delta Airlines,2024-12-02,Los Angeles,New York,10:00,14:00,10,6,2,500,250,4
UA789,United Airlines,2024-12-03,Chicago,Miami,12:00,16:00,10,6,2,500,250,4
SW101,Southwest Airlines,2024-12-04,Miami,Chicago,14:00,18:00,10,6,2,500,250,4
BA234,British Airways,2024-12-01,New York,Los Angeles,09:00,13:00,12,6,3,550,300,5
AF345,Air France,2024-12-02,Los Angeles,New York,11:00,15:00,12,6,3,550,300,5
LH456,Lufthansa,2024-12-03,Chicago,Miami,13:00,17:00,12,6,3,550,300,5
QR567,Qatar Airways,2024-12-04,Miami,Chicago,15:00,19:00,12,6,3,550,300,5
EK678,Emirates,2024-12-05,New York,Los Angeles,07:00,11:00,14,7,4,600,350,6
SQ789,Singapore Airlines,2024-12-06,Los Angeles,New York,09:30,13:30,14,7,4,600,350,6
CX890,Cathay Pacific,2021-12-07,Chicago,Miami,12:30,16:30,14,7,4,600,350,6
NH901,ANA,2024-12-08,Miami,Chicago,14:30,18:30,14,7,4,600,350,6
AA002,American Airlines,2024-12-01,New York,Los Angeles,11:00,15:00,10,6,2,520,270,4.5
DL003,Delta Airlines,2024-12-02,Los Angeles,New York,13:00,17:00,10,6,2,520,270,4.5
UA004,United Airlines,2024-12-03,Chicago,Miami,15:00,19:00,10,6,2,520,270,4.5
SW005,Southwest Airlines,2024-12-04,Miami,Chicago,17:00,21:00,10,6,2,520,270,4.5
BA006,British Airways,2024-12-05,New York,Los Angeles,16:00,20:00,12,6,3,560,310,5.5
AF007,Air France,2024-04-18,Los Angeles,New York,18:00,22:00,12,6,3,560,310,5.5
LH008,Lufthansa,2024-12-07,Chicago,Miami,20:00,00:00,12,6,3,560,310,5.5
QR009,Qatar Airways,2024-12-08,Miami,Chicago,22:00,02:00,12,6,3,560,310,5.5
BA123,British Airways,2024-12-10,Lagos,Houston,06:00,16:00,12,6,3,1100,800,14
DL234,Delta Airlines,2024-12-10,Lagos,Houston,08:30,18:30,10,6,2,1150,850,14
UA345,United Airlines,2024-12-10,Lagos,Houston,11:00,21:00,14,7,4,1200,900,14
QR456,Qatar Airways,2024-12-10,Lagos,Houston,13:30,23:30,12,6,3,1250,950,14
EK567,Emirates,2024-12-10,Lagos,Houston,16:00,02:00,14,7,4,1300,1000,14
KLM678,KLM Royal Dutch Airlines,2024-12-10,Lagos,Houston,18:30,04:30,12,6,3,1050,750,14
LH789,Lufthansa,2024-04-17,Lagos,Houston,20:00,06:00,10,6,2,1350,1050,14
AF890,Air France,2024-12-10,Lagos,Houston,22:30,08:30,14,7,4,1400,1100,14
AA901,American Airlines,2024-12-10,Lagos,Houston,00:00,10:00,12,6,3,1450,1150,14
SW012,Southwest Airlines,2024-12-10,Lagos,Houston,02:30,12:30,10,6,2,1500,1200,14
